system:index,B8,GVI,NLI,RDVI,SGI,estimatefAPAR,.geo
8_3219,2832.0,3.7757166947723437,0.9999044960063497,43.191500949571406,7.394255874673629,0.52,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3224,2774.0,3.9802513464991023,0.9998885063423388,41.43471707345457,6.466200466200466,0.523,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3225,2462.0,4.076288659793814,0.9998954099312065,40.689562767029145,7.766561514195583,0.523,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3277,2774.0,4.355212355212355,0.9999105961727884,43.51792888800812,8.063953488372093,0.525,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3286,2470.0,4.393013100436681,0.9999154258912816,42.35092883303184,9.573643410852712,0.511,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3309,2654.0,3.9700374531835205,0.9999148213178392,43.31129936488098,8.846666666666666,0.536,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3321,2632.0,4.968253968253968,0.9999240727821566,44.029198194035644,10.007604562737642,0.511,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3342,2496.0,4.534368070953437,0.9999280926577467,43.56361136653064,11.142857142857142,0.511,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3359,2624.0,3.7364620938628157,0.9998913698580402,41.09289172716291,7.016042780748663,0.515,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3360,2714.0,4.384920634920635,0.9999033416633271,42.557353521597356,7.623595505617978,0.516,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3369,2422.0,4.794258373205742,0.9999290863802893,43.17175882977521,11.64423076923077,0.514,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3386,2518.0,4.213250517598344,0.9999088416214647,42.071583864451256,8.71280276816609,0.529,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3414,2976.0,3.951747088186356,0.999881902641034,41.46919233052944,5.690248565965583,0.523,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3417,2394.0,4.082802547770701,0.9999120647203658,41.641325627314025,9.5,0.515,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3440,2540.0,3.8565965583174,0.9998973950589366,41.2267518900494,7.673716012084592,0.521,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3454,2576.0,4.278688524590164,0.9999165166402378,43.04156811792261,9.299638989169676,0.534,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3463,2614.0,4.538135593220339,0.9999107312849237,42.737280712826845,8.570491803278689,0.523,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3528,2566.0,4.482905982905983,0.9999185982373481,43.16682447616904,9.574626865671641,0.511,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3543,2604.0,4.576017130620985,0.9999283297785788,44.24887703741992,10.716049382716049,0.537,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3553,2732.0,3.8525754884547068,0.9998957693195518,41.93970817824389,7.023136246786632,0.515,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3579,2360.0,4.645933014354067,0.9999303385367574,42.85958936970468,12.164948453608247,0.523,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3617,2386.0,4.055084745762712,0.9999209586278137,42.29132880113377,10.604444444444445,0.511,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3623,2924.0,3.9982905982905983,0.9998989498267177,43.01669714903089,6.768518518518518,0.511,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3635,2946.0,4.177504393673111,0.999884554457978,41.64455462006907,5.880239520958084,0.511,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3655,2448.0,4.368421052631579,0.9999112293236909,41.884161411630174,9.203007518796992,0.515,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3657,2422.0,4.066945606694561,0.9999065859942404,41.368934286921245,8.83941605839416,0.519,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3666,3108.0,3.8791208791208796,0.9998846817272606,42.13795636934702,5.579892280071813,0.532,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3672,2558.0,3.8355387523629494,0.9998942495923566,41.04750993209386,7.393063583815029,0.52,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3694,2706.0,4.369047619047619,0.9998943030577142,41.697574052482594,6.992248062015504,0.516,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3700,2292.0,4.80253164556962,0.9999055869673468,40.556832875773054,9.241935483870968,0.522,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3705,2470.0,4.113871635610766,0.9999098534298722,41.895111460631355,8.981818181818182,0.513,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3708,2438.0,4.2770562770562774,0.9999074715697986,41.52710180469888,8.865454545454545,0.531,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3735,2522.0,4.423655913978495,0.9999018990704936,41.513786811285286,8.083333333333334,0.536,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3745,2414.0,3.9876033057851243,0.9999121430037347,41.7633963346881,9.4296875,0.521,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3758,2514.0,4.30379746835443,0.999894945485567,40.90131757461395,7.572289156626506,0.513,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3764,2574.0,4.137724550898204,0.999913670306902,42.783174262787,9.0,0.525,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3768,2596.0,4.100196463654224,0.9999189849556843,43.36945210732123,9.50915750915751,0.538,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3776,2486.0,4.451754385964913,0.9998970959373282,40.942114943346986,7.817610062893082,0.524,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3780,2620.0,4.219123505976095,0.9999003604214113,41.856334462525,7.6608187134502925,0.521,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3799,3016.0,3.7051482059282375,0.9998909500885591,42.5229403449581,6.080645161290323,0.512,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3804,3024.0,3.7697160883280754,0.9998849657445046,41.925500660502586,5.749049429657795,0.512,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3819,2980.0,4.274336283185841,0.9998819942609576,41.49027503372844,5.687022900763359,0.529,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3822,2924.0,4.156966490299824,0.9998947396244263,42.5919139296101,6.497777777777777,0.519,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3824,2558.0,4.536796536796537,0.9999248121449781,43.66151741190878,10.398373983739837,0.537,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3827,2438.0,4.165254237288136,0.9998919949227519,40.30370837807619,7.595015576323988,0.52,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3854,2430.0,4.0625,0.9999044906659947,41.246721510905935,8.617021276595745,0.511,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3860,2424.0,4.75771971496437,0.9999217155326254,42.58789395331789,10.539130434782608,0.519,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3880,2730.0,4.102803738317757,0.9999133260872511,43.56248923548499,8.452012383900929,0.528,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3891,2830.0,3.677685950413223,0.9999026130905486,42.999349987864726,7.256410256410256,0.521,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3919,2422.0,4.0041322314049586,0.9999014723407461,40.96623921524646,8.380622837370241,0.519,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3925,2634.0,4.226190476190476,0.9999204408270003,43.71166066795582,9.543478260869565,0.522,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3928,2534.0,3.7100371747211893,0.9999112348770315,42.35863118705738,8.891228070175439,0.525,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3932,2406.0,4.468181818181818,0.9999101759583879,41.56230691791644,9.253846153846155,0.521,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3936,2888.0,3.8866328257191203,0.9998894617615024,41.938433312571995,6.264642082429501,0.532,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3959,2536.0,4.041749502982108,0.9999051558080173,41.8566005404132,8.314754098360655,0.53,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3960,2922.0,4.555133079847908,0.9999095856751854,44.09268022947371,7.569948186528498,0.531,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3992,2562.0,4.053254437869822,0.9999003682262391,41.58184512785309,7.834862385321101,0.523,"{""type"":""MultiPoint"",""coordinates"":[]}"
