system:index,B4,B8,NDGI,NLI,RDVI,estimatefCOVER,.geo
6_357,714.0,3184.0,0.09848484848484848,0.9998591517344162,39.561799341822756,0.469,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_371,399.0,2350.0,0.20279720279720279,0.9998555106656848,37.210876461432754,0.455,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_381,457.0,2397.0,0.1882770870337478,0.9998409346498979,36.31405487741356,0.47,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_387,486.0,2442.0,0.19735755573905864,0.9998370180336528,36.14792014967861,0.456,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_409,376.0,2299.0,0.24346076458752516,0.9998577314177273,37.180685368696224,0.466,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_412,496.0,2720.0,0.16498316498316498,0.9998659259435462,39.217216241738065,0.468,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_414,568.0,2945.0,0.0734094616639478,0.9998690277489386,40.10422302963496,0.469,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_427,363.0,2301.0,0.22929936305732485,0.9998628885862113,37.547987314253625,0.466,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_428,416.0,2346.0,0.1969111969111969,0.9998488408344858,36.7236189035465,0.46,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_429,415.0,2339.0,0.19961427193828352,0.9998483003054465,36.66258642379856,0.458,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_449,388.0,2310.0,0.20491803278688525,0.9998545860123736,37.00261445694574,0.463,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_457,370.0,2435.0,0.21360255047821466,0.9998752022692949,38.99003483454826,0.471,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_476,409.0,2246.0,0.20966183574879227,0.9998378568561476,35.65142501305374,0.452,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_495,464.0,2552.0,0.13271028037383178,0.99985751941298,38.02023752606579,0.461,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_506,657.0,2766.0,0.0759493670886076,0.9998282670142103,36.047332307961376,0.455,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_522,596.0,2800.0,0.13623188405797101,0.9998479707409997,37.82054209030737,0.472,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_549,450.0,2380.0,0.1773308957952468,0.9998411255373046,36.279733754151025,0.465,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_581,348.0,2196.0,0.2292358803986711,0.9998556844166541,36.63898326017826,0.471,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_639,346.0,2189.0,0.18106508875739644,0.9998555946734468,36.60465798492446,0.454,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_650,444.0,2486.0,0.20714285714285716,0.9998563255585182,37.724364077492346,0.463,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_672,361.0,2366.0,0.2013274336283186,0.9998710326692826,38.39474680636531,0.457,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_677,709.0,3033.0,0.08041504539559015,0.9998458661809748,37.99130677800068,0.46,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_690,422.0,2442.0,0.18846153846153846,0.999858479160721,37.74547218397276,0.452,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_694,441.0,2481.0,0.18408880666049954,0.9998567205377951,37.73897162703456,0.464,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_721,696.0,3086.0,0.1223203026481715,0.999853844334977,38.86307302912437,0.459,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_723,556.0,2679.0,0.14592933947772657,0.9998450734974393,37.32612031961498,0.466,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_727,325.0,2288.0,0.22526817640047675,0.9998758421009503,38.40171275201872,0.466,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_731,487.0,2622.0,0.1559792027729636,0.9998583349174903,38.29018973293938,0.47,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_744,432.0,2509.0,0.1708253358925144,0.9998627593970499,38.29913666692979,0.457,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_799,549.0,2756.0,0.09703947368421052,0.999855451854475,38.38986644530495,0.462,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_818,444.0,2504.0,0.18005540166204986,0.9998583835954619,37.9405376372135,0.454,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_833,679.0,3024.0,0.07744565217391304,0.9998515076944273,38.535943008984255,0.465,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_843,650.0,3017.0,0.10652920962199312,0.9998571889803941,39.08794179656259,0.462,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_845,556.0,2835.0,0.11464968152866242,0.999861653359304,39.13636000112201,0.469,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_851,489.0,2787.0,0.10684931506849316,0.9998740965656169,40.14930924644947,0.463,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_853,759.0,3167.0,0.08609271523178808,0.9998486638151394,38.43096900290562,0.453,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_888,402.0,2344.0,0.22243713733075435,0.9998536781917536,37.05944910089806,0.466,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_889,370.0,2288.0,0.2094017094017094,0.9998586522221972,37.20241341071356,0.452,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_890,647.0,2870.0,0.10325710325710326,0.9998429144015809,37.48463432706878,0.452,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_897,399.0,2543.0,0.21994134897360704,0.9998766090306108,39.52787311795432,0.467,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_921,470.0,2581.0,0.14467697907188354,0.9998589018874274,38.2179272586341,0.466,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_923,430.0,2593.0,0.18250950570342206,0.9998721014431865,39.340279928795,0.468,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_927,355.0,2404.0,0.2084726867335563,0.9998771535119129,39.009115950249466,0.459,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_944,500.0,2818.0,0.17627677100494235,0.9998740811702996,40.241600084188306,0.465,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_975,454.0,2421.0,0.1936056838365897,0.999845096000389,36.68473915617395,0.456,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_991,554.0,2799.0,0.0984540276647681,0.9998585824679274,38.770336341304734,0.47,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_1007,607.0,2860.0,0.12028985507246377,0.9998515929975855,38.26346282357657,0.455,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_1035,497.0,2599.0,0.16259477674810446,0.9998528562322491,37.777414878937925,0.467,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_1101,393.0,2322.0,0.21635094715852443,0.9998542305682949,37.020928827768735,0.463,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_1106,351.0,2209.0,0.1977142857142857,0.9998561484842723,36.7219493287053,0.455,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_1126,364.0,2387.0,0.17925591882750846,0.9998722388543756,38.57008425569089,0.454,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_1141,407.0,2374.0,0.18681318681318682,0.9998555785790032,37.29957346285085,0.452,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_1151,387.0,2451.0,0.18952879581151832,0.9998711672249421,38.743914478159134,0.468,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_1206,540.0,2597.0,0.09924937447873228,0.9998398801829339,36.72628772952821,0.461,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_1210,638.0,2803.0,0.08726752503576538,0.9998376062861131,36.90757953987241,0.455,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_1229,409.0,2394.0,0.20428015564202334,0.9998572835547213,37.49289384447929,0.472,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_1259,351.0,2271.0,0.21739130434782608,0.9998638952481992,37.495995209496336,0.469,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_1260,379.0,2434.0,0.20628272251308902,0.9998720617884176,38.74600767250896,0.456,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_1266,502.0,2628.0,0.1099290780141844,0.9998546378208646,38.00065578717808,0.454,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_1279,618.0,2685.0,0.14758620689655172,0.9998285676955795,35.96550724196257,0.455,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_1348,416.0,2331.0,0.20153550863723607,0.9998468893040954,36.53755218032782,0.453,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_1353,375.0,2473.0,0.2260061919504644,0.9998773729158301,39.31293708783293,0.467,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_1381,361.0,2377.0,0.22114347357065803,0.9998722234708848,38.52776407762378,0.472,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_1390,444.0,2539.0,0.17777777777777778,0.9998622607692147,38.35812769730175,0.468,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_1396,578.0,2899.0,0.12357846853677028,0.99986245920327,39.36160466459214,0.465,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_1400,428.0,2456.0,0.2153987167736022,0.9998580987486829,37.76333338209964,0.463,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_1411,460.0,2534.0,0.18149466192170818,0.9998567338813159,37.903808921992564,0.458,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_1425,334.0,2256.0,0.23218390804597702,0.9998687589270453,37.76621848540384,0.459,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_1434,522.0,2525.0,0.15806451612903225,0.99983626475362,36.28647006005269,0.465,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_1444,629.0,2935.0,0.08442503639010189,0.9998539731491677,38.62695336646238,0.467,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_1448,449.0,2668.0,0.14149139579349904,0.9998738528936503,39.74558568758324,0.455,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_1451,393.0,2267.0,0.21084337349397592,0.9998470722507735,36.3353015033362,0.461,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_1459,396.0,2256.0,0.20402010050251257,0.9998443987070947,36.118207138198706,0.455,"{""type"":""MultiPoint"",""coordinates"":[]}"
