system:index,B8,GVI,NDGI,RDVI,SGI,estimatefAPAR,.geo
8_127,3096.0,8.145714285714286,0.3592233009708738,52.32927422749594,19.4,0.691,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_136,3151.0,8.578488372093023,0.29080675422138835,52.621397558942284,17.433862433862434,0.677,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_165,3272.0,9.636655948553054,0.301255230125523,53.28322856249577,19.808383233532933,0.686,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_177,3202.0,6.888324873096447,0.3424190800681431,50.73595002821048,16.10362694300518,0.655,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_180,3509.0,7.544303797468354,0.33220910623946037,53.14968644089769,17.045454545454547,0.658,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_187,3352.0,7.773067331670823,0.36394557823129253,54.724339249942346,18.81283422459893,0.672,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_201,3311.0,7.90886075949367,0.3504273504273504,54.66198246288471,18.521052631578947,0.697,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_206,3044.0,9.19732441471572,0.31140350877192985,51.0759589927035,19.420382165605094,0.667,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_212,3185.0,6.60092807424594,0.3532182103610675,52.02642592789319,15.902912621359222,0.653,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_217,3172.0,8.522727272727273,0.32082551594746717,53.348771529616485,18.519337016574585,0.685,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_218,3265.0,8.349030470914128,0.34450651769087526,53.68326281328214,19.176136363636363,0.688,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_238,3408.0,8.824712643678161,0.37549407114624506,54.52445442951168,21.639240506329113,0.696,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_245,3016.0,9.227564102564102,0.3136842105263158,52.28466643924477,19.57668711656442,0.699,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_252,2864.0,10.047445255474452,0.2863849765258216,50.990889156533555,19.914473684210527,0.663,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_254,2851.0,9.501818181818182,0.3157894736842105,49.85966779984785,20.195804195804197,0.656,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_256,3319.0,8.738235294117647,0.30518234165067176,52.96722494780379,18.29281767955801,0.687,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_258,2935.0,8.361702127659575,0.35390946502057613,51.375666098235456,19.61783439490446,0.666,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_302,3186.0,8.045197740112995,0.3014705882352941,51.71625232668142,16.852631578947367,0.669,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_329,2963.0,8.385802469135802,0.2908366533864542,50.46158175584935,17.084269662921347,0.676,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_334,2817.0,8.884615384615385,0.3419354838709677,51.5162768846829,20.15686274509804,0.675,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_365,3276.0,8.763848396501457,0.30666666666666664,53.29656318836959,18.4010989010989,0.692,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_371,3222.0,8.373219373219372,0.29044117647058826,52.47645248000852,17.04663212435233,0.676,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_373,3088.0,8.444444444444445,0.3481781376518219,51.89761431362579,19.53416149068323,0.682,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_375,3153.0,6.459396751740139,0.3405909797822706,51.29774566432909,15.165094339622641,0.658,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_377,3013.0,8.68562874251497,0.2796934865900383,52.07976365213766,17.20744680851064,0.67,"{""type"":""MultiPoint"",""coordinates"":[]}"
